あわてます 慌てます 慌张，着急，匆忙，慌乱；惊慌失措
あわてる 慌てる 慌张；急忙；着急；忙乱
あわてもの 慌て者 冒失鬼；急性子
つつしむ 慎む 谨慎，慎重；节制；克制；避免；注意
しんちょう 慎重 慎重，谨慎；小心，审慎
したう 慕う 爱慕，思慕；敬仰；追随；向往
まんせい 慢性 慢性；长期性。指疾病发展缓慢、病程长的特性，也可用于形容其他具有长期持续性质的事物。
ならす 慣らす 使习惯，使适应；驯养；使熟练
なれます 慣れます 习惯；适应；熟练
なれる 慣れる 习惯，适应；熟练，精通
かんれい 慣例 惯例，常规；老规矩
かんようく 慣用句 惯用句，熟语，指在语言使用中形成的具有固定形式和特定含义的短语或句子，其意义往往不能从组成它的单个词的字面意义来理解。
かんがる 慮る 思虑，考虑；担心，顾虑
なぐさめる 慰める 安慰，宽慰；慰问，慰劳；使安心，使宽心
いる 慰留 挽留；劝慰并挽留
うれる 憂える/愁える 忧虑，担心；发愁，悲伤
ゆううつ 憂鬱 忧郁，郁闷；忧愁，烦闷
にくい 憎い 可憎的，可恶的；令人厌恶的；有时也可表示令人佩服（这种用法较少见）
にくしみ 憎しみ 憎恶，憎恨；怨恨
にくたらしい 憎たらしい 可憎的，可恶的；令人厌恶的
にくむ 憎む 憎恶，憎恨；厌恶；嫌，讨厌
にくらしい 憎らしい 可憎的，可恶的；令人讨厌的
はばかる 憚る 忌惮，顾忌；不好意思，难为情；有势力，当权
いきどおり 憤り 愤怒，愤慨；义愤
いきどおる 憤る 愤怒，气愤，愤慨；对某事感到强烈不满并表达出来。
ふんがい 憤慨 愤慨，气愤
あこがれる 憧れる 憧憬，向往；倾慕，迷恋
いこい 憩い 休息；放松；悠闲；闲暇。
けんぽう 憲法 宪法。国家的根本大法，规定国家的根本制度和根本任务等根本性问题。
こんろ 懇ろ 恳切的；殷勤的；亲密的
こんしんかい 懇親会 联欢会，联谊会，旨在增进彼此感情的聚会活动
なつかしい 懐かしい 怀念的，令人怀念的；眷恋的，留恋的
なつく 懐く 亲近，熟悉，喜欢；怀念，眷恋
かいちゅうでんとう 懐中電灯 手电筒
かいせきりょうり 懐石料理 怀石料理，是一种精致、注重食材季节性和摆盘艺术的高级日本料理，通常包含多道菜品，每一道都经过精心烹制和呈现。
こりる 懲りる 因尝过苦头而不敢再尝试；吸取教训，不再重犯
ちょうえき 懲役 徒刑，监禁；劳役
けんめい 懸命 表示全身心地投入、竭尽全力去做某事，有拼命、努力、专心致志的意思
けねん 懸念 担心，忧虑；悬念，担忧的事
なしとげる 成し遂げる 完成，实现，达成（通常指完成具有一定难度的事情或实现某个目标）
なす 成す 形成，构成；完成，达到目的；做，干；成为；养成
なりたつ 成り立つ 1. （组织、团体等）成立、建立；2. （理论、计划等）成立、说得通；3. （房屋、物体等）矗立、屹立
なりゆき 成り行き 事情的发展、经过、动向、趋势
なる 成る 成为；变成；达成；构成；完成；形成；适合；发生；可以；能
せいじん 成人 名词，指成年人、大人；也可表示达到成年人的状态、成年。
せいぶん 成分 成分；组成部分
せいこう 成功 成功；成就
せいこうします 成功します 成功；达成目标
せいひ 成否 成败，成功与否；事情的结果、结局
せいねん 成年 达到法定年龄，成为成年人。
せいか 成果 成果，成就
せいじゅく 成熟 成熟；发育成熟；事物发展到完善的程度
せいりつ 成立 1. （组织、机构等）成立。2. （计划、理论等）形成，确立，实现。3. （数学上的等式、命题等）成立。
せいりつする 成立する 成立；达成；达成协议；完成；形成。
せいせき 成績 成绩；成果；业绩
なりきん 成金 暴发户，暴富的人；骤然得势的人
せいちょう 成長 成长，发育；增长，发展
われわれ 我々 我们，多用于书面语或较为正式的场合。
わがくに 我が国 名词，指我国、本国
わがや 我が家 自己的家；我家
わがしゃ 我が社 名词，我公司，本公司。用于在商务或正式场合中，以第一人称的视角来称呼自己所在的公司。
がまん 我慢 忍耐，忍受；克制，抑制；将就，凑合
がまんづよい 我慢強い 有忍耐力的，有耐心的，能忍耐的
がまん 我慢 忍耐；忍受；将就；克制
いましめる 戒める 劝诫，劝告；告诫，训诫；禁止，戒；警惕；引以为戒
あるいは 或いは 或者；或是；也许；可能
ある 或る 某……，某个……；有时，偶尔
たたかい 戦い/闘い 战争；战斗；搏斗；斗争；比赛；竞争
たたかう 戦う 战斗；斗争；竞争；奋斗
たたかう 戦う/闘う 战斗；搏斗；斗争；竞争；比赛；与……作斗争
せんそう 戦争 战争；战事
せんりょく 戦力 军事力量，作战能力；也可泛指完成某项任务或达成某个目标所需的人力、物力等资源。
せんし 戦士 战士；斗士
せんりゃく 戦略 名词，战略；策略
せんじゅつ 戦術 战术，策略；作战方法，作战技巧
せんとう 戦闘 战斗；作战；斗争
ぎきょく 戯曲 剧本；戏剧
とまどう 戸惑う 困惑，不知所措，踌躇；惊慌，慌张
とだな 戸棚 名词，指放置物品的柜子、橱柜等，一般用于厨房放置餐具、食材等，也可用于其他场所放置杂物等
こせき 戸籍 户籍；户口。指记载住户人口的册子，是对自然人按户进行登记并予以出证的公共证明簿，记载的事项有自然人的姓名、出生日期、亲属、婚姻状况等。
とじまり 戸締り 锁门，锁紧门户；泛指关闭门窗等进行安全防范的行为
もどします 戻します 放回，返还；回到（原来的位置、状态等）；恢复；退回；使……返回
もどす 戻す 返还，归还；退回；使……倒退；使……恢复原状；使……返回
もどります 戻ります 返回；回到；恢复；归还。
もどる 戻る 返回，回到；恢复；归还；回家
ところ 所 1. 场所，地方；2. 时候，时机；3. 部分，方面；4. 程度，情况
ところどころ 所々 到处，处处；好几个地方
しょざい 所在 住处，所在地；（职责、问题等的）所在
しょてい 所定 规定，既定；所规定的，既定的
しょぞく 所属 表示人或事物的归属，可指工作单位、组织、团体等方面的所属关系；附属、隶属。
しょとく 所得 所得，收入；指个人或企业在一定时期内通过各种途径获得的经济收益。
しょじ 所持 持有，拥有；携带。
しょゆう 所有 所有，拥有；所有权
しょせん 所詮 归根到底，终归；毕竟，到底
しょちょう 所長 名词，所长；负责人。
おうぐ 扇ぐ 扇（风、火等）；煽动；挑拨
せんす 扇子 扇子，折扇
せんぷうき 扇風機 风扇，电风扇
とびら 扉 名词，门，门扇；扉页；书籍的封面；（抽象意义上的）开端、入口
て 手 手；手腕；人手；手艺；本领；方面
てあたりしだい 手あたり次第 随手抓到什么算什么；碰到什么就做什么；见机行事
てがかかる 手がかかる 表示事情需要花费时间、精力，意为麻烦、费事、费工夫
てがかり 手がかり 线索；头绪；提示
てがける 手がける 亲自动手；亲自处理；亲自制作；亲自培养；负责
てこずる 手こずる 处理起来棘手，难对付；应付不过来
てごたえ 手ごたえ 手感；反应，效果；反馈
てっとりばやい 手っ取り早い 直截了当的；简便迅速的；立竿见影的
てにいれる 手に入れる 惯用语，意为获得、得到、拿到手。
てのひら 手のひら 手掌
てぶら 手ぶら 空着手，赤手空拳；毫无准备，没有任何凭借
てぶり 手ぶり 手势，手的动作；做事的方式、风格
てつだいます 手伝います 帮忙，帮助。表示为他人提供协助、付出劳动力去完成某项任务或达成某个目的。
てつだう 手伝う 帮忙，帮助；协助；照料
てづくり 手作り 自制，亲手做；手工制作的物品
てもと 手元 名词，指手边、手头；也可表示眼前、身边；还可指目前、现在的状况
ていれ 手入れ 修整，维护；保养；拾掇；收拾；照料
てわけ 手分け 分头做；分工
てまえ 手前 1. 眼前，靠近自己的一边；2. 自己这方面，我方；3. 谦称自己
てどり 手取り 纯收入，净收入；到手的钱；直接领取；手把手地教
てぐち 手口 （做坏事的）手法，手段；说话方式，口吻
てじな 手品 戏法，魔术；骗术，奸计
てまわし 手回し 准备，安排；（用手）转动，摇动；周旋，打点
てがたじい 手堅い 踏实的，靠得住的；（行情）稳定的；做事谨慎、稳妥
てちょう 手帳 笔记本，记事本；手册；袖珍日记
てびき 手引き 入门书；辅导，启蒙；引荐；向导
てづよい 手強い 难对付的，不好对付的；实力强劲的；棘手的
てあて 手当て 1. 津贴，补贴；2. 医疗，治疗；3. 处理，应对
てがた 手形 1. 手印；2. 票据；3. 字帖；4. 手的形状
てぬき 手抜き 偷懒；偷工减料；敷衍了事
てがかり 手掛かり 线索，头绪；提示，启发
てさぐり 手探り 摸，摸索；试探；摸着走，暗中摸索
てさげ 手提げ 手提包，手提袋
てすう 手数 麻烦，费事；手续
てすうりょう 手数料 手续费；服务费
てりょうり 手料理 亲手做的菜；家常菜
てがき 手書き 手写，手抄；手写的东西
てほん 手本 字帖，范本；模范，榜样；样本，样品
しゅだん 手段 名词，指为达到某种目的而采取的方法、措施等
しゅほう 手法 名词，指方法、手段、技巧、手法；（医学上的）处置方法、治疗方法。
てあらい 手洗い 名词，洗手；洗手间，厕所
てんたん 手短 简单的，简略的；直截了当地，干脆地
てばく 手筈 程序，步骤；事前的准备；大致的情形、情况
てがみ 手紙 书信；信件
てつづき 手続き 名词，手续；程序；办理的事务
てげい 手芸 手工艺，手艺
てにもつがかり 手荷物係 名词，指负责搬运、管理行李的工作人员，即行李员
てぼう 手薄 人员较少；人手不足；名单；名簿
しゅじゅつ 手術 名词，指外科医生用医疗器械对病人身体进行的切除、缝合等治疗操作，即手术
てぶくろ 手袋 手套。
てざわり 手触り 手感，手摸时的感觉
しゅわ 手話 手语，用手的动作和姿势来表达意思的交流方式。
てがる 手軽 简便，轻易；轻松，不费力
てぢか 手近 身边，手边；就近，近便；常见，轻易可得
ておくれ 手遅れ 为时已晚，耽误；错过时机
てはい 手配 名词。1. 筹备，安排，布置； 2. 部署，调配； 3. （警察）搜捕，通缉
てじょう 手錠 手铐；手镣；脚镣；狱吏往囚人身上加的刑具，现多指束缚手腕的部分；后乐园里观赏鱼的一种形状
てま 手間 人力、劳力和时间；功夫；周折；麻烦
てぎわ 手際 （处理事物的）手法，技巧；手腕，本领
てごろ 手頃 （大小、粗细）合手；（价格、数量等）适中，合适
てじゅん 手順 次序，程序；步骤
てくび 手首 手腕；腕子
さいのう 才能 才能，才干，才华
うちあげ 打ち上げ 名词。1. 发射；2. 庆祝会，欢送会
うちあげる 打ち上げる 1. 发射；2. 举行庆祝会、宴会；3. 向上抛、扔；4. 做完、完成
うちあげはなび 打ち上げ花火 名词，指发射到空中绽放的烟花，也常用于指代烟花大会等烟花表演活动。
うちだす 打ち出す 1. 提出（想法、主张等）；2. 开始从事（某项活动）；3. 打出，敲出；4. 发射，喷射
うちきる 打ち切る 停止，中止；结束；截止；中断；取消；戒除
うちあう 打ち合う 商量，碰头；互相击打
うちあわせ 打ち合わせ 事先商量，碰头商议；协调，沟通
うちあわせる 打ち合わせる 商量，协商；碰头，事先谈妥；核对，对证
うちあける 打ち明ける 坦率说出，开诚布公；倾诉，吐露心声
うちけし 打ち消し 否定，否认；消除，抵消
うちけす 打ち消す 否定，否认；消除；抵消；取消；抹掉
うちやぶる 打ち破る 打破，破坏；打败，击败；突破（记录、常规等）
うちとける 打ち解ける 相互之间消除隔阂，变得亲密、融洽；畅所欲言，无拘无束地交流。
うつ 打つ 1. 敲，打；2. 拍打；3. 击（球）；4. 打（电话）；5. 注射；6. 铸造；7. 制定（计划等）
だげき 打撃 打击；冲击；损害；挫折
だしん 打診 ①（医生）听诊；②打探，试探
だかい 打開 开辟（途径），解决（问题）；打开；开拓
