はこ 箱 箱子；盒子；容器等
はし 箸 筷子
せつ 節 ①时节，时候，时期。②节日。③段落。④节拍。
せつぶん 節分 立春、立夏、立秋、立冬这四个节气的前一天，尤指立春的前一天。在这天有撒豆子驱邪等习俗。
せっく 節句 传统节日，特指具有祭祀等特定仪式的节日，如元旦、春分、秋分、端午、七夕、重阳等。
せつど 節度 节制，分寸；规范；礼貌，规矩。
ふしめ 節目 阶段，段落；节点；转折点；关节；（相扑比赛中的）胜败关键局
せつやく 節約 名詞：節約、節減。他動詞：節約する、省く。
せつでん 節電 节约用电，节省电力消耗。
はんい 範囲 事物所涵盖的界限、限度等范围。
つくる 築く 1. 建造，修筑（建筑物、道路、堤坝等）；2. 建立，创建（组织、制度等）；3. 积累，积攒（经验、知识、财富等）。
かんかにじゅうよんしきたいきょくけん 簡化24式太極拳 一种简化的太极拳套路，共二十四式
かんたん 簡単 不复杂，容易理解或处理；平凡，普通
かんたん 簡単 简单，不复杂；轻易，轻松；单纯，纯粹
かんけつ 簡潔 形容动词，意为简洁、简明扼要。
かご 籠 筐，篮，笼子；（建筑物、车辆等的）内部；（人、动物等的）聚集之处；（抽象的）范围、界限等
こもる 籠もる 1. 闭门不出，把自己关在屋里。2. （场所等）挤满，充满。3. 包含，含有。
ごめ 米 作为食物的稻子脱壳后得到的颗粒；泛指粮食
べいこく 米国 指美利坚合众国，即美国。
こな 粉 粉末；细粉。也可指用谷物等磨成的粉，如小麦粉、米粉等。在烹饪中，还可表示勾芡用的淀粉，如小麦粉、片栗粉等。此外，在一些固定用法中，如「粉にする」表示弄碎、弄成粉末状等意思。
こなこな 粉々 物体が壊れて小さな粉々になった様子。また、混乱して秩序がない様子。
いき 粋 潇洒；漂亮；风雅；通情达理；利落
つぶあん 粒餡 用红豆等煮烂后制成的豆沙馅
あらい 粗い 1. （物体表面）粗糙，不光滑。2. （做事等）粗枝大叶，不精细。3. （声音等）粗，沙哑。4. （性格等）粗暴，粗鲁。5. （数量、程度等）粗略，大致。6. （线条、形状等）粗大，粗壮。
そまつ 粗末 粗糙，不精致；浪费，挥霍；待遇不好，怠慢。
あらすじ 粗筋 概要、梗概；大致的情节、主要内容。
ねばり 粘り 黏性，黏度；毅力，坚韧不拔
ねばる 粘る 1. 发黏，有黏性。2. 坚持不懈，执着。3. 纠缠不休，赖着不走。
ねんど 粘土 黏土，黏土类的土。
ねんちゃく 粘着 物体が他の物体に強く付きつくこと。また、付着した状態。
せいいっぱい 精いっぱい 竭尽全力，尽最大努力
せいりょく 精力 充沛的精力，活力。
せいみつ 精密 精密，精细；精确；严密。
せいみつきか 精密機器 精密仪器，精密器械
せいこう 精巧 精巧で細かい。技術や手作りなどにおいて、細部まで丁寧に作られ、高度な技術や技能が施されているさま。
せいしん 精神 人的意识、思维活动和一般心理状态；精力、活力。
せいしんめん 精神面 精神层面，精神方面
せいさん 精算 1. 仔细计算，精打细算；2. 结算，清算；3. 补票。
せいさい 精細 詳細で、周到で、細かい。精密で正確なことを表す。
のり 糊 糨糊；胶水；浆糊状物；黏性
ちょうにょうびょう 糖尿病 体内の血糖値が高くなる病気。食事や運動、薬などによってコントロールすることができる。
いと 糸 丝；丝线；线；（织物等的）线条；（钓鱼等用的）线；（乐器的）弦；（交通等的）线路；（文章等的）脉络；条理
れいけい 系列 一系列相关的事物按一定顺序排列而成的集合；事物之间相互关联形成的整体架构或组织形式
けいとう 系統 具有特定结构和功能，由相互关联的部分组成的整体；同类事物按一定秩序和内部联系组合而成的整体。
やくそく 約束 约定，商定；约束，规定
やくそくします 約束します 约定；规定；约束。
こうちゃ 紅茶 从茶树的叶子中加工制成的饮品，具有独特的色泽和风味。
もみじ 紅葉 枫叶；红叶（多指秋天树木的叶子变红）
ゆうよきょくせつ 紆余曲折 事情发展过程中遇到的周折、波折；形容事物弯弯曲曲的样子。
おさめる 納める 1. 缴纳，交纳（费用、税款等）；2. 供应，提供（物品等）；3. 结束，完成（工作、任务等）；4. 收起，收藏；5. 接受，收纳
のうふ 納付 （向政府、团体等）缴纳（费用、税款、物品等）
のうにゅう 納入 缴纳，交纳；交付，供应
のうひん 納品 1. 交货，交付（货物、物品等）；2. 提交，呈送（文件、报告等）。
のうひん 納品 交货，缴纳物品；提交（文件、报告等）
なっとく 納得 理解，领会；同意，认可
のうき 納期 交货期，缴纳期限。指产品或货物交付给客户的预定日期，或者是应缴纳某种费用、款项等的截止日期。
なっとう 納豆 一种将黄豆发酵制成的食品，外观黏滑，具有独特的气味和口感。
ひも 紐 绳子、带子、线等；关系、纽带
じゅんじょう 純情 纯真，天真，纯洁，指感情或性格单纯真挚，不掺杂杂质。
じゅんすい 純粋 纯粹，纯真；不含杂质，不掺杂其他成分
かみ 紙 纸；纸张；报纸；票据；文件等
かみくず 紙くず 废纸；纸屑
しへい 紙幣 纸币；钞票
かみふくろ 紙袋 用纸制成的袋子，用于包装物品等
かみひこうき 紙飛行機 纸折的飞机
かみコップ 紙コップ 纸杯
まぎらす 紛らす 1. 蒙混过去，掩饰过去；2. 排遣，解除，消除；3. 使混淆，使分不清
まぎらわしい 紛らわしい 容易混淆的，不易分辨的；错综复杂的
まぎれる 紛れる 1. 混淆，弄错。2. 混杂，混进。3. （因忙碌等）忘怀，忘却。
まぎれあたり 紛れ当たり 偶然碰巧；歪打正着；误打误撞
ふんそう 紛争 争端，纷争，纠纷。指人与人、团体与团体之间因意见不合等产生的争执、冲突。
ふんしつ 紛失 物を失って見つからなくなること。失くすこと。
しろうと 素人 外行；非专业人士；业余爱好者。指对某一领域缺乏专业知识和技能的人。
すぶり 素振り 空手做动作练习；姿势；态度
すてき 素敵 极好的，绝佳的；美丽的，迷人的
すばやい 素早い 动作迅速、敏捷，不拖泥带水；反应灵敏
すばらしい 素晴らしい 非常出色、优秀，令人惊叹、赞叹，极其美好
そぼく 素朴 朴素，质朴；纯真，单纯。
そざい 素材 构成事物的基本材料；创作、制作等所需的材料或元素
そあん 素案 初步的方案、草案
すなお 素直 坦率、老实、纯真、质朴。不虚伪，如实表达自己的想法和感情；心地单纯，没有复杂的心思。
そしつ 素質 个人に固有の性質や能力。特に、生まれつき持っている能力や、学習や訓練などによって身に付けられた能力や性質。
さくいん 索引 书籍、文件等中按一定顺序排列的，用于方便查找特定内容的引导部分。
むらさき 紫 紫色；紫红色
しがいせん 紫外線 紫外线。太阳光中含有的波长较短的电磁波，对生物有各种影响，如促进维生素D的合成、使皮肤变黑、造成晒伤等
るいか 累加 逐次に加えていくつかの数や量を合計すること。また、徐々に増えていくこと。
るいけい 累計 一定期間における数量や金額などを順次加えて合計すること。また、その合計額。
ほそい 細い 细的；狭窄的；纤细的；微弱的
こまかい① 細かい 细小，细微；细致，周到；琐碎，繁杂
こまかい（おかね） 細かい（お金） （お金について）金額が小さい、つまり、小銭や額の少ないお金。また、物事については、詳細や細部にまでこだわったり、注意深く扱うさま。
こまやか 細やか 细致的，详细的；细腻的；无微不至的
さいく 細工 工艺品；手艺；技巧；耍花招；作弊
さいぼう 細胞 生物体の構成の基本単位で、原形質が膜に包まれており、独立した生活を行うことができる。
さいきん 細菌 细菌；病菌
ほそながい 細長い 形容物体的形状细长
しんし 紳士 有教养、有礼貌的人；绅士；君子
